New_ID	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
85	-0.4767	Fri Jun 22 16:23:31 +0000 2018	0.819	0.181	0.0	426	@FoxNews
86	0.0	Fri Jun 22 16:16:43 +0000 2018	1.0	0.0	0.0	431	@FoxNews
87	-0.5267	Fri Jun 22 16:10:46 +0000 2018	0.833	0.167	0.0	436	@FoxNews
88	0.5719	Fri Jun 22 16:03:04 +0000 2018	0.821	0.0	0.179	441	@FoxNews
89	-0.6705	Fri Jun 22 15:59:00 +0000 2018	0.645	0.355	0.0	446	@FoxNews
90	0.0	Fri Jun 22 15:53:00 +0000 2018	1.0	0.0	0.0	451	@FoxNews
91	0.4466	Fri Jun 22 15:46:00 +0000 2018	0.804	0.0	0.196	456	@FoxNews
92	0.3612	Fri Jun 22 15:37:38 +0000 2018	0.839	0.0	0.161	461	@FoxNews
93	-0.7184	Fri Jun 22 15:29:12 +0000 2018	0.469	0.344	0.188	466	@FoxNews
94	0.5106	Fri Jun 22 15:20:36 +0000 2018	0.752	0.0	0.248	471	@FoxNews
95	-0.128	Fri Jun 22 15:11:33 +0000 2018	0.662	0.185	0.152	476	@FoxNews
96	0.0	Fri Jun 22 15:03:04 +0000 2018	1.0	0.0	0.0	481	@FoxNews
97	-0.4588	Fri Jun 22 14:51:28 +0000 2018	0.812	0.188	0.0	486	@FoxNews
98	0.5574	Fri Jun 22 14:40:01 +0000 2018	0.825	0.0	0.175	491	@FoxNews
99	-0.1779	Fri Jun 22 14:30:09 +0000 2018	0.898	0.102	0.0	496	@FoxNews
100	0.0	Sat Jun 23 01:19:50 +0000 2018	1.0	0.0	0.0	1	@cbs
101	-0.0516	Sat Jun 23 00:59:49 +0000 2018	0.75	0.129	0.121	6	@cbs
102	0.0	Sat Jun 23 00:39:46 +0000 2018	1.0	0.0	0.0	11	@cbs
103	-0.1027	Sat Jun 23 00:19:37 +0000 2018	0.928	0.072	0.0	16	@cbs
104	-0.2023	Sat Jun 23 00:00:01 +0000 2018	0.921	0.079	0.0	21	@cbs
105	0.0	Fri Jun 22 23:29:47 +0000 2018	1.0	0.0	0.0	26	@cbs
106	-0.7003	Fri Jun 22 23:23:58 +0000 2018	0.691	0.309	0.0	31	@cbs
107	0.5574	Fri Jun 22 22:46:52 +0000 2018	0.833	0.0	0.167	36	@cbs
108	0.0	Fri Jun 22 22:39:03 +0000 2018	1.0	0.0	0.0	41	@cbs
109	0.0	Fri Jun 22 22:30:01 +0000 2018	1.0	0.0	0.0	46	@cbs
110	-0.4215	Fri Jun 22 22:15:04 +0000 2018	0.872	0.128	0.0	51	@cbs
111	-0.1531	Fri Jun 22 22:14:22 +0000 2018	0.792	0.119	0.089	56	@cbs
112	-0.2023	Fri Jun 22 22:00:02 +0000 2018	0.909	0.091	0.0	61	@cbs
113	0.0	Fri Jun 22 21:44:46 +0000 2018	1.0	0.0	0.0	66	@cbs
114	-0.2023	Fri Jun 22 21:29:51 +0000 2018	0.904	0.096	0.0	71	@cbs
115	0.0	Fri Jun 22 21:14:49 +0000 2018	1.0	0.0	0.0	76	@cbs
116	-0.4767	Fri Jun 22 20:59:57 +0000 2018	0.829	0.171	0.0	81	@cbs
117	0.3182	Fri Jun 22 20:45:01 +0000 2018	0.892	0.0	0.108	86	@cbs
118	-0.7964	Fri Jun 22 20:29:30 +0000 2018	0.664	0.336	0.0	91	@cbs
119	-0.4019	Fri Jun 22 20:15:01 +0000 2018	0.876	0.124	0.0	96	@cbs
120	-0.9118	Fri Jun 22 19:48:09 +0000 2018	0.564	0.436	0.0	101	@cbs
121	0.0	Fri Jun 22 19:30:00 +0000 2018	1.0	0.0	0.0	106	@cbs
122	0.8555	Fri Jun 22 19:16:56 +0000 2018	0.646	0.0	0.354	111	@cbs
123	-0.6249	Fri Jun 22 19:03:14 +0000 2018	0.806	0.194	0.0	116	@cbs
124	-0.4805	Fri Jun 22 18:47:19 +0000 2018	0.822	0.178	0.0	121	@cbs
125	-0.1531	Fri Jun 22 18:44:03 +0000 2018	0.918	0.082	0.0	126	@cbs
126	0.0	Fri Jun 22 18:30:31 +0000 2018	1.0	0.0	0.0	131	@cbs
127	0.1264	Fri Jun 22 18:09:30 +0000 2018	0.689	0.143	0.167	136	@cbs
128	0.4939	Fri Jun 22 17:55:35 +0000 2018	0.824	0.0	0.176	141	@cbs
129	-0.5106	Fri Jun 22 17:39:59 +0000 2018	0.845	0.155	0.0	146	@cbs
130	-0.1027	Fri Jun 22 17:25:25 +0000 2018	0.924	0.076	0.0	151	@cbs
131	-0.5106	Fri Jun 22 17:07:24 +0000 2018	0.798	0.202	0.0	156	@cbs
132	0.0	Fri Jun 22 16:58:55 +0000 2018	1.0	0.0	0.0	161	@cbs
133	-0.6249	Fri Jun 22 16:41:33 +0000 2018	0.83	0.17	0.0	166	@cbs
134	-0.7269	Fri Jun 22 16:25:50 +0000 2018	0.783	0.217	0.0	171	@cbs
135	0.5574	Fri Jun 22 16:17:51 +0000 2018	0.753	0.0	0.247	176	@cbs
136	-0.802	Fri Jun 22 16:00:52 +0000 2018	0.714	0.286	0.0	181	@cbs
137	0.0	Fri Jun 22 15:43:45 +0000 2018	1.0	0.0	0.0	186	@cbs
138	-0.34	Fri Jun 22 15:25:02 +0000 2018	0.862	0.138	0.0	191	@cbs
139	-0.2263	Fri Jun 22 15:09:39 +0000 2018	0.584	0.226	0.191	196	@cbs
140	0.5574	Fri Jun 22 14:55:04 +0000 2018	0.795	0.0	0.205	201	@cbs
141	0.0516	Fri Jun 22 14:44:17 +0000 2018	0.708	0.142	0.15	206	@cbs
142	-0.3612	Fri Jun 22 14:25:15 +0000 2018	0.857	0.143	0.0	211	@cbs
143	-0.4767	Fri Jun 22 14:09:34 +0000 2018	0.866	0.134	0.0	216	@cbs
144	0.0	Fri Jun 22 13:52:27 +0000 2018	1.0	0.0	0.0	221	@cbs
145	0.0	Fri Jun 22 13:47:58 +0000 2018	1.0	0.0	0.0	226	@cbs
146	-0.4404	Fri Jun 22 13:30:11 +0000 2018	0.868	0.132	0.0	231	@cbs
147	0.0	Fri Jun 22 13:15:22 +0000 2018	1.0	0.0	0.0	236	@cbs
148	0.0	Fri Jun 22 13:04:14 +0000 2018	1.0	0.0	0.0	241	@cbs
149	0.3612	Fri Jun 22 12:53:49 +0000 2018	0.863	0.0	0.137	246	@cbs
150	-0.5423	Fri Jun 22 12:42:47 +0000 2018	0.837	0.163	0.0	251	@cbs
151	0.296	Fri Jun 22 12:38:05 +0000 2018	0.885	0.0	0.115	256	@cbs
152	-0.7717	Fri Jun 22 12:26:28 +0000 2018	0.739	0.261	0.0	261	@cbs
153	0.0	Fri Jun 22 12:24:06 +0000 2018	1.0	0.0	0.0	266	@cbs
154	0.4939	Fri Jun 22 12:14:55 +0000 2018	0.808	0.054	0.138	271	@cbs
155	-0.6249	Fri Jun 22 12:11:23 +0000 2018	0.823	0.177	0.0	276	@cbs
156	0.2584	Fri Jun 22 12:05:32 +0000 2018	0.88	0.0	0.12	281	@cbs
157	0.0258	Fri Jun 22 12:00:07 +0000 2018	0.766	0.115	0.12	286	@cbs
158	-0.6249	Fri Jun 22 11:53:57 +0000 2018	0.664	0.253	0.083	291	@cbs
159	0.0	Fri Jun 22 11:50:38 +0000 2018	1.0	0.0	0.0	296	@cbs
160	-0.7003	Fri Jun 22 11:44:13 +0000 2018	0.756	0.244	0.0	301	@cbs
161	-0.3384	Fri Jun 22 11:40:38 +0000 2018	0.916	0.084	0.0	306	@cbs
162	-0.7003	Fri Jun 22 11:39:24 +0000 2018	0.775	0.225	0.0	311	@cbs
163	0.4215	Fri Jun 22 11:25:05 +0000 2018	0.872	0.0	0.128	316	@cbs
164	0.1027	Fri Jun 22 11:22:56 +0000 2018	0.938	0.0	0.062	321	@cbs
165	-0.128	Fri Jun 22 11:20:51 +0000 2018	0.676	0.174	0.15	326	@cbs
166	-0.3818	Fri Jun 22 11:18:51 +0000 2018	0.88	0.12	0.0	331	@cbs
167	-0.4404	Fri Jun 22 11:17:29 +0000 2018	0.804	0.196	0.0	336	@cbs
168	0.34	Fri Jun 22 11:14:52 +0000 2018	0.825	0.0	0.175	341	@cbs
169	0.0	Fri Jun 22 11:10:08 +0000 2018	1.0	0.0	0.0	346	@cbs
170	0.0	Fri Jun 22 11:07:30 +0000 2018	1.0	0.0	0.0	351	@cbs
171	-0.4019	Fri Jun 22 11:00:04 +0000 2018	0.87	0.13	0.0	356	@cbs
172	0.0	Fri Jun 22 10:39:52 +0000 2018	1.0	0.0	0.0	361	@cbs
173	-0.4019	Fri Jun 22 10:36:26 +0000 2018	0.87	0.13	0.0	366	@cbs
174	0.0	Fri Jun 22 10:36:22 +0000 2018	1.0	0.0	0.0	371	@cbs
175	0.0085	Fri Jun 22 10:35:38 +0000 2018	0.811	0.094	0.095	376	@cbs
176	0.0	Fri Jun 22 10:30:01 +0000 2018	1.0	0.0	0.0	381	@cbs
177	0.1027	Fri Jun 22 10:23:19 +0000 2018	0.938	0.0	0.062	386	@cbs
178	0.0	Fri Jun 22 10:16:50 +0000 2018	1.0	0.0	0.0	391	@cbs
179	-0.9022	Fri Jun 22 10:03:04 +0000 2018	0.498	0.502	0.0	396	@cbs
180	0.0	Fri Jun 22 09:48:04 +0000 2018	1.0	0.0	0.0	401	@cbs
181	-0.25	Fri Jun 22 09:33:03 +0000 2018	0.846	0.154	0.0	406	@cbs
182	0.0	Fri Jun 22 09:18:03 +0000 2018	1.0	0.0	0.0	411	@cbs
183	-0.5719	Fri Jun 22 09:03:03 +0000 2018	0.684	0.316	0.0	416	@cbs
184	0.0	Fri Jun 22 08:48:03 +0000 2018	1.0	0.0	0.0	421	@cbs
185	0.4019	Fri Jun 22 08:33:03 +0000 2018	0.816	0.0	0.184	426	@cbs
186	0.0	Fri Jun 22 08:18:03 +0000 2018	1.0	0.0	0.0	431	@cbs
187	-0.6705	Fri Jun 22 08:03:04 +0000 2018	0.757	0.243	0.0	436	@cbs
188	-0.886	Fri Jun 22 07:48:03 +0000 2018	0.536	0.464	0.0	441	@cbs
189	-0.6369	Fri Jun 22 07:33:03 +0000 2018	0.769	0.231	0.0	446	@cbs
190	-0.9153	Fri Jun 22 07:18:04 +0000 2018	0.522	0.478	0.0	451	@cbs
191	-0.4215	Fri Jun 22 07:03:03 +0000 2018	0.851	0.149	0.0	456	@cbs
192	-0.8176	Fri Jun 22 06:48:03 +0000 2018	0.485	0.515	0.0	461	@cbs
193	-0.9136	Fri Jun 22 06:33:03 +0000 2018	0.461	0.539	0.0	466	@cbs
194	-0.6486	Fri Jun 22 06:18:03 +0000 2018	0.719	0.281	0.0	471	@cbs
195	0.0	Fri Jun 22 06:03:03 +0000 2018	1.0	0.0	0.0	476	@cbs
196	-0.8807	Fri Jun 22 05:48:04 +0000 2018	0.537	0.463	0.0	481	@cbs
197	0.0	Fri Jun 22 05:33:03 +0000 2018	1.0	0.0	0.0	486	@cbs
198	-0.6771	Fri Jun 22 05:18:03 +0000 2018	0.664	0.336	0.0	491	@cbs
199	-0.5994	Fri Jun 22 05:03:03 +0000 2018	0.738	0.262	0.0	496	@cbs
200	-0.4404	Sat Jun 23 01:17:01 +0000 2018	0.861	0.139	0.0	1	@nytimes
201	0.0	Sat Jun 23 01:02:06 +0000 2018	1.0	0.0	0.0	6	@nytimes
202	0.0	Sat Jun 23 00:47:04 +0000 2018	1.0	0.0	0.0	11	@nytimes
203	0.4939	Sat Jun 23 00:32:08 +0000 2018	0.656	0.107	0.238	16	@nytimes
204	0.0	Sat Jun 23 00:17:05 +0000 2018	1.0	0.0	0.0	21	@nytimes
205	0.5106	Sat Jun 23 00:02:05 +0000 2018	0.837	0.0	0.163	26	@nytimes
206	-0.6486	Fri Jun 22 23:47:03 +0000 2018	0.815	0.185	0.0	31	@nytimes
207	-0.34	Fri Jun 22 23:32:05 +0000 2018	0.766	0.142	0.091	36	@nytimes
208	0.5859	Fri Jun 22 23:17:02 +0000 2018	0.806	0.0	0.194	41	@nytimes
209	-0.5095	Fri Jun 22 23:02:04 +0000 2018	0.845	0.155	0.0	46	@nytimes
210	0.0	Fri Jun 22 22:47:02 +0000 2018	1.0	0.0	0.0	51	@nytimes
211	0.0	Fri Jun 22 22:30:06 +0000 2018	1.0	0.0	0.0	56	@nytimes
212	0.6369	Fri Jun 22 22:17:02 +0000 2018	0.724	0.0	0.276	61	@nytimes
213	-0.5574	Fri Jun 22 22:03:49 +0000 2018	0.677	0.229	0.094	66	@nytimes
214	0.0	Fri Jun 22 21:47:06 +0000 2018	1.0	0.0	0.0	71	@nytimes
215	0.5574	Fri Jun 22 21:32:02 +0000 2018	0.753	0.0	0.247	76	@nytimes
216	0.0	Fri Jun 22 21:21:05 +0000 2018	1.0	0.0	0.0	81	@nytimes
217	0.0772	Fri Jun 22 21:10:06 +0000 2018	0.885	0.0	0.115	86	@nytimes
218	0.0	Fri Jun 22 21:00:12 +0000 2018	1.0	0.0	0.0	91	@nytimes
219	0.296	Fri Jun 22 20:45:03 +0000 2018	0.879	0.0	0.121	96	@nytimes
220	0.0	Fri Jun 22 20:30:06 +0000 2018	1.0	0.0	0.0	101	@nytimes
221	0.8176	Fri Jun 22 20:15:46 +0000 2018	0.622	0.0	0.378	106	@nytimes
222	0.25	Fri Jun 22 20:00:06 +0000 2018	0.917	0.0	0.083	111	@nytimes
223	0.0	Fri Jun 22 19:50:04 +0000 2018	1.0	0.0	0.0	116	@nytimes
224	0.6249	Fri Jun 22 19:40:09 +0000 2018	0.745	0.0	0.255	121	@nytimes
225	-0.7384	Fri Jun 22 19:26:55 +0000 2018	0.666	0.27	0.065	126	@nytimes
226	0.0	Fri Jun 22 19:15:10 +0000 2018	1.0	0.0	0.0	131	@nytimes
227	0.3818	Fri Jun 22 19:06:51 +0000 2018	0.809	0.0	0.191	136	@nytimes
228	0.0	Fri Jun 22 18:55:02 +0000 2018	1.0	0.0	0.0	141	@nytimes
229	0.0	Fri Jun 22 18:40:06 +0000 2018	1.0	0.0	0.0	146	@nytimes
230	0.0	Fri Jun 22 18:26:18 +0000 2018	1.0	0.0	0.0	151	@nytimes
231	-0.1531	Fri Jun 22 18:15:07 +0000 2018	0.678	0.195	0.127	156	@nytimes
232	0.4939	Fri Jun 22 18:00:09 +0000 2018	0.842	0.0	0.158	161	@nytimes
233	0.8934	Fri Jun 22 17:45:07 +0000 2018	0.529	0.0	0.471	166	@nytimes
234	0.0	Fri Jun 22 17:30:06 +0000 2018	1.0	0.0	0.0	171	@nytimes
235	0.296	Fri Jun 22 17:16:54 +0000 2018	0.84	0.055	0.105	176	@nytimes
236	0.4404	Fri Jun 22 17:05:06 +0000 2018	0.775	0.0	0.225	181	@nytimes
237	0.0	Fri Jun 22 16:55:05 +0000 2018	1.0	0.0	0.0	186	@nytimes
238	0.3612	Fri Jun 22 16:45:08 +0000 2018	0.906	0.0	0.094	191	@nytimes
239	-0.296	Fri Jun 22 16:35:06 +0000 2018	0.872	0.128	0.0	196	@nytimes
240	0.7906	Fri Jun 22 16:25:05 +0000 2018	0.741	0.0	0.259	201	@nytimes
241	-0.2411	Fri Jun 22 16:15:04 +0000 2018	0.859	0.141	0.0	206	@nytimes
242	-0.5574	Fri Jun 22 16:00:04 +0000 2018	0.847	0.153	0.0	211	@nytimes
243	-0.8779	Fri Jun 22 15:45:03 +0000 2018	0.498	0.502	0.0	216	@nytimes
244	-0.34	Fri Jun 22 15:35:04 +0000 2018	0.671	0.205	0.124	221	@nytimes
245	0.0	Fri Jun 22 15:25:07 +0000 2018	1.0	0.0	0.0	226	@nytimes
246	0.7096	Fri Jun 22 15:10:04 +0000 2018	0.753	0.0	0.247	231	@nytimes
247	0.0	Fri Jun 22 15:00:20 +0000 2018	1.0	0.0	0.0	236	@nytimes
248	0.3182	Fri Jun 22 14:50:04 +0000 2018	0.867	0.0	0.133	241	@nytimes
249	0.5574	Fri Jun 22 14:45:54 +0000 2018	0.816	0.0	0.184	246	@nytimes
250	0.2732	Fri Jun 22 14:40:35 +0000 2018	0.493	0.177	0.33	251	@nytimes
251	0.4404	Fri Jun 22 14:30:19 +0000 2018	0.802	0.059	0.139	256	@nytimes
252	-0.2023	Fri Jun 22 14:20:04 +0000 2018	0.833	0.103	0.064	261	@nytimes
253	-0.25	Fri Jun 22 14:10:02 +0000 2018	0.875	0.125	0.0	266	@nytimes
254	0.0	Fri Jun 22 13:59:03 +0000 2018	1.0	0.0	0.0	271	@nytimes
255	0.0	Fri Jun 22 13:44:04 +0000 2018	1.0	0.0	0.0	276	@nytimes
256	0.0	Fri Jun 22 13:16:05 +0000 2018	1.0	0.0	0.0	281	@nytimes
257	0.0	Fri Jun 22 13:00:08 +0000 2018	1.0	0.0	0.0	286	@nytimes
258	0.8225	Fri Jun 22 12:45:04 +0000 2018	0.658	0.046	0.296	291	@nytimes
259	0.0	Fri Jun 22 12:30:07 +0000 2018	1.0	0.0	0.0	296	@nytimes
260	0.0	Fri Jun 22 12:16:05 +0000 2018	1.0	0.0	0.0	301	@nytimes
261	-0.6369	Fri Jun 22 12:00:08 +0000 2018	0.607	0.289	0.104	306	@nytimes
262	-0.34	Fri Jun 22 11:45:07 +0000 2018	0.748	0.154	0.098	311	@nytimes
263	0.34	Fri Jun 22 11:29:01 +0000 2018	0.882	0.0	0.118	316	@nytimes
264	0.0	Fri Jun 22 11:14:06 +0000 2018	1.0	0.0	0.0	321	@nytimes
265	0.0	Fri Jun 22 11:00:03 +0000 2018	1.0	0.0	0.0	326	@nytimes
266	-0.5859	Fri Jun 22 10:44:04 +0000 2018	0.63	0.26	0.11	331	@nytimes
267	0.0	Fri Jun 22 10:32:03 +0000 2018	1.0	0.0	0.0	336	@nytimes
268	0.0	Fri Jun 22 10:10:07 +0000 2018	1.0	0.0	0.0	341	@nytimes
269	-0.7269	Fri Jun 22 10:00:10 +0000 2018	0.757	0.243	0.0	346	@nytimes
270	-0.3182	Fri Jun 22 09:45:10 +0000 2018	0.892	0.108	0.0	351	@nytimes
271	-0.3182	Fri Jun 22 09:30:15 +0000 2018	0.881	0.119	0.0	356	@nytimes
272	0.4215	Fri Jun 22 09:15:05 +0000 2018	0.872	0.0	0.128	361	@nytimes
273	-0.3836	Fri Jun 22 09:00:06 +0000 2018	0.668	0.214	0.117	366	@nytimes
274	-0.6764	Fri Jun 22 08:45:02 +0000 2018	0.738	0.204	0.058	371	@nytimes
275	0.0	Fri Jun 22 08:30:01 +0000 2018	1.0	0.0	0.0	376	@nytimes
276	0.0	Fri Jun 22 08:15:05 +0000 2018	1.0	0.0	0.0	381	@nytimes
277	0.0	Fri Jun 22 08:02:05 +0000 2018	1.0	0.0	0.0	386	@nytimes
278	0.5267	Fri Jun 22 07:47:07 +0000 2018	0.812	0.0	0.188	391	@nytimes
279	-0.3252	Fri Jun 22 07:32:00 +0000 2018	0.794	0.206	0.0	396	@nytimes
280	0.4404	Fri Jun 22 07:18:01 +0000 2018	0.756	0.0	0.244	401	@nytimes
281	0.6249	Fri Jun 22 07:02:06 +0000 2018	0.687	0.0	0.313	406	@nytimes
282	-0.6705	Fri Jun 22 06:39:33 +0000 2018	0.667	0.333	0.0	411	@nytimes
283	0.0	Fri Jun 22 06:32:01 +0000 2018	1.0	0.0	0.0	416	@nytimes
284	0.296	Fri Jun 22 06:06:04 +0000 2018	0.784	0.0	0.216	421	@nytimes
