	city	Temperature (F)	Latitude	Longitude	Country	Humidity	Cloudiness	Wind_Speed	Max_Temp
144	Oeiras do Para	80.51	-2.0	-49.85	BR	81	24	7.63	80.51
145	Neuquen	42.8	-38.95	-68.06	AR	70	0	5.82	42.8
146	Chitipa	56.48	-9.7	33.27	MW	84	0	6.62	56.48
147	Oruro	36.86	-17.97	-67.11	BO	82	0	4.72	36.86
148	Uba	68.09	10.45	13.22	NG	70	8	2.04	68.09
149	Opuwo	51.8	-18.06	13.84	NA	66	0	4.5	51.8
150	Urucui	78.8	-7.23	-44.56	BR	50	24	6.96	78.8
151	Tobias Barreto	73.4	-11.19	-38.0	BR	80	88	7.74	73.4
152	Yauya	46.13	-8.99	-77.29	PE	87	76	1.14	46.13
153	Graneros	30.83	-34.06	-70.73	CL	97	0	0.58	30.83
154	Pitimbu	75.2	-7.47	-34.81	BR	83	0	5.82	75.2
155	Richards Bay	62.24	-28.77	32.06	ZA	84	0	6.4	62.24
156	Sola	41.0	62.78	29.36	FI	80	0	2.24	41.0
157	Bahia Blanca	44.69	-38.72	-62.27	AR	100	0	6.06	44.69
158	Santa Helena de Goias	66.02	-17.81	-50.6	BR	70	0	2.71	66.02
159	Ananas	68.72	19.25	-71.96	HT	100	68	2.26	68.72
160	Pontal do Parana	57.2	-25.67	-48.51	BR	82	20	4.7	57.2
161	Mugumu	57.2	-1.84	34.67	TZ	93	12	1.59	57.2
162	Butia	64.4	-21.88	-47.57	BR	59	0	2.24	64.4
163	Beloha	61.52	-25.17	45.06	MG	91	0	6.85	61.52
164	Trairi	81.68	-3.28	-39.27	BR	100	12	20.38	81.68
165	Jatai	82.22	28.97	76.18	IN	54	0	9.64	82.22
166	Saint-Philippe	77.86	45.36	-73.48	CA	65	75	10.29	78.8
167	Talcahuano	48.2	-36.72	-73.12	CL	76	0	8.05	48.2
168	Sinazongwe	62.51	-17.26	27.46	ZM	88	0	0.13	62.51
169	Cerro Largo	64.31	-28.15	-54.74	BR	100	92	4.16	64.31
170	Springbok	39.65	-29.67	17.88	ZA	91	12	9.64	39.65
171	Rio Gallegos	39.2	-51.62	-69.22	AR	69	0	19.46	39.2
172	Nhamunda	79.7	-2.19	-56.71	BR	81	0	2.82	79.7
173	Buritis	65.12	-15.62	-46.42	BR	57	8	6.29	65.12
174	Loandjili	77.0	-4.77	11.87	CG	88	75	6.93	77.0
175	Nelson Bay	57.2	-32.72	152.14	AU	67	20	18.34	57.2
176	Sao Paulo de Olivenca	81.32	-3.38	-68.87	BR	75	36	4.16	81.32
177	Manokwari	80.69	-0.87	134.08	ID	100	48	2.93	80.69
178	Muncar	76.82	-8.43	114.34	ID	92	88	3.6	76.82
179	Launceston	37.4	-41.43	147.14	AU	86	0	5.82	37.4
180	Picota	84.2	-6.92	-76.33	PE	70	20	4.7	84.2
181	Monze	50.99	-16.28	27.48	ZM	69	0	3.83	50.99
182	Kasongo-Lunda	69.17	-6.48	16.82	CD	90	0	2.37	69.17
183	Moba	64.85	-7.04	29.77	CD	91	0	3.38	64.85
184	Monte Alegre	81.68	-2.0	-54.07	BR	68	68	3.94	81.68
185	Kununurra	71.6	-15.77	128.74	AU	35	0	6.93	71.6
186	San Alberto	66.2	-24.98	-54.91	PY	100	90	4.7	66.2
187	Eucaliptus	32.27	-17.6	-67.51	BO	40	0	6.96	32.27
188	Tolaga Bay	55.31	-38.37	178.3	NZ	76	0	4.38	55.31
189	Mangochi	56.12	-14.48	35.26	MW	98	0	3.6	56.12
190	Boca do Acre	76.73	-8.76	-67.39	BR	92	24	1.7	76.73
191	Rio Tercero	42.17	-32.17	-64.11	AR	99	92	13.33	42.17
192	Port Lincoln	55.76	-34.72	135.86	AU	96	68	14.45	55.76
193	Buseresere	71.6	-3.01	31.92	TZ	54	56	7.29	71.6
194	Narrabri	49.73	-30.33	149.78	AU	56	0	6.17	49.73
195	Aurora	85.64	41.76	-88.32	US	52	40	5.82	87.8
196	Coremas	78.98	-7.02	-37.95	BR	59	92	10.76	78.98
197	Bocaiuva	64.4	-17.12	-43.81	BR	63	0	5.17	64.4
198	Irece	67.28	-11.3	-41.86	BR	82	0	9.31	67.28
199	Lumajang	73.67	-8.14	113.22	ID	100	24	4.16	73.67
200	Nkayi	73.4	-4.18	13.29	CG	97	24	2.71	73.4
201	Arraias	70.97	-12.93	-46.94	BR	53	36	7.29	70.97
202	Posse	72.05	-14.08	-46.36	BR	47	68	8.97	72.05
203	Buala	85.28	-8.15	159.59	SB	83	44	4.61	85.28
204	Kilosa	66.47	-6.84	36.99	TZ	85	8	0.92	66.47
205	Grand Gaube	71.6	-20.01	57.66	MU	68	40	4.7	71.6
206	Grand Baie	71.6	-20.02	57.58	MU	68	40	4.7	71.6
207	Vera Cruz	62.33	-22.22	-49.82	BR	60	0	5.95	62.33
208	Punta Alta	66.2	-27.46	-55.82	AR	93	90	6.93	66.2
209	Trenggalek	69.17	-8.05	111.71	ID	95	20	3.15	69.17
210	Alvinopolis	52.52	-20.11	-43.05	BR	90	0	3.6	52.52
211	Waitati	37.22	-45.75	170.57	NZ	81	0	4.05	37.22
212	Barreirinha	78.44	-2.8	-57.07	BR	92	0	1.7	78.44
213	Gamboma	71.6	-1.87	15.88	CG	93	0	2.93	71.6
214	Tamandare	79.43	-8.28	-70.75	BR	88	56	0.47	79.43
215	Manacapuru	79.07	-3.3	-60.62	BR	90	12	1.7	79.07
216	Jacareacanga	78.44	-6.22	-57.76	BR	88	8	2.04	78.44
217	Salamanca	53.33	40.97	-5.66	ES	80	56	4.83	53.33
218	Bukama	67.01	-9.2	25.85	CD	64	0	4.16	67.01
219	Gandajika	75.11	-6.75	23.95	CD	54	48	7.63	75.11
220	Devonport	41.63	-41.18	146.36	AU	86	0	2.93	41.63
221	Antsirabe	38.48	-19.87	47.03	MG	80	8	2.71	38.48
222	Newcastle	51.35	-27.76	29.92	ZA	79	0	12.1	51.35
223	Mozarlandia	72.14	-14.74	-50.57	BR	57	8	5.95	72.14
224	Vryburg	34.25	-26.96	24.73	ZA	45	0	5.95	34.25
225	Gwanda	64.58	-20.94	29.0	ZW	59	88	2.15	64.58
226	Gunnedah	44.6	-30.98	150.25	AU	65	40	5.82	44.6
227	Salgueiro	75.92	-8.07	-39.12	BR	60	56	12.33	75.92
228	Ayolas	65.39	-27.39	-56.84	PY	99	92	0.69	65.39
229	Antofagasta	59.0	-23.65	-70.4	CL	72	75	10.29	59.0
230	Tacuarembo	54.95	-31.73	-55.98	UY	99	92	16.24	54.95
231	Bella Union	75.47	8.5	-73.35	CO	63	0	3.38	75.47
232	kimparana	78.53	12.83	-4.92	ML	76	0	3.38	78.53
233	Vesele	70.25	47.02	34.92	UA	34	0	13.0	70.25
234	Temascalcingo	79.43	19.92	-100.0	MX	15	0	9.31	79.43
235	Randazzo	70.7	37.88	14.95	IT	88	0	8.05	73.4
236	Pitiquito	93.65	30.68	-112.05	MX	11	0	11.32	93.65
237	Port Hawkesbury	57.2	45.62	-61.36	CA	47	1	5.82	57.2
238	Cienaga	87.15	11.01	-74.25	CO	56	20	13.87	93.2
239	Krasnozerskoye	58.55	53.98	79.24	RU	60	36	16.02	58.55
240	Macrohon	83.39	10.08	124.94	PH	91	76	4.27	83.39
241	Valdez	55.4	61.13	-146.35	US	50	40	11.41	55.4
242	Nador	64.17	35.17	-2.93	MA	88	0	2.24	66.2
243	Kavos	59.0	38.83	22.83	GR	77	0	5.82	59.0
244	Ayorou	88.88	14.73	0.92	NE	39	0	10.76	88.88
245	Jawa	75.92	12.81	11.04	NG	60	8	1.03	75.92
246	Nadadores	102.29	27.03	-101.59	MX	19	0	10.98	102.29
247	Locri	71.6	38.24	16.26	IT	73	0	2.24	71.6
248	Bozhou	74.93	33.86	115.78	CN	76	0	5.84	74.93
249	Zhengjiatun	75.83	43.51	123.51	CN	55	0	7.85	75.83
250	West Odessa	107.1	31.84	-102.48	US	18	0	5.82	111.2
251	Bandarbeyla	78.71	9.49	50.81	SO	86	64	23.06	78.71
252	Chor	85.55	25.52	69.77	PK	62	0	12.44	85.55
253	Fort Smith	87.8	35.39	-94.42	US	58	40	9.31	89.6
254	San Onofre	82.85	9.74	-75.52	CO	87	8	6.73	82.85
255	Russkiy	55.13	44.21	40.02	RU	83	0	2.82	55.13
256	Camalu	70.34	30.85	-116.07	MX	54	0	10.65	70.34
257	Mountain Home	67.44	43.13	-115.69	US	40	75	18.34	71.6
258	Jaruco	79.63	23.04	-82.01	CU	78	75	8.05	80.6
259	Liuhe	68.45	42.28	125.73	CN	82	0	3.27	68.45
260	Yook	82.85	13.23	121.96	PH	100	44	5.61	82.85
261	Przasnysz	68.36	53.02	20.88	PL	42	0	9.64	68.36
262	Nueva Italia de Ruiz	82.4	19.02	-102.1	MX	51	5	9.17	82.4
263	Mahasamund	80.87	21.11	82.1	IN	66	0	5.39	80.87
264	Tra Vinh	77.9	9.93	106.35	VN	100	88	3.71	77.9
265	Harer	67.55	42.19	-111.17	US	26	36	13.44	67.55
266	Bowmore	80.8	34.94	-79.3	US	83	1	3.36	82.4
267	Redwater	55.4	53.95	-113.11	CA	58	90	9.17	55.4
268	Franklin	84.65	35.93	-86.87	US	74	1	3.36	86.0
269	Portlethen	53.6	57.05	-2.13	GB	100	24	4.7	53.6
270	Salinopolis	80.6	-0.61	-47.36	BR	100	20	11.43	80.6
271	Tamiahua	85.55	21.28	-97.45	MX	84	0	12.66	85.55
272	Eregli	54.05	37.51	34.05	TR	100	92	3.27	54.05
273	Kita	70.97	35.76	139.74	JP	56	40	13.87	71.6
274	Zavodouspenskoye	37.4	56.86	65.02	RU	74	0	8.95	37.4
275	Devils Lake	77.86	48.11	-98.87	US	47	1	6.93	78.8
276	Pyay	75.02	18.82	95.22	MM	98	92	2.82	75.02
277	Gallipoli	70.45	40.06	18.0	IT	94	0	2.24	73.4
278	Gibara	82.4	21.11	-76.13	CU	69	75	11.41	82.4
279	Pyinmana	73.85	19.74	96.21	MM	96	64	3.15	73.85
280	Mae Hong Son	70.97	19.3	97.96	MM	97	88	2.59	70.97
281	Porto-Vecchio	60.87	41.59	9.28	FR	93	8	2.24	66.2
282	Ejura	77.36	7.38	-1.37	GH	84	8	6.85	77.36
283	Cedar City	78.8	37.68	-113.06	US	13	1	26.4	78.8
284	Fairhope	83.43	30.52	-87.9	US	83	75	11.41	84.2
285	Lingyuan	73.49	41.24	119.4	CN	62	0	4.72	73.49
286	Lincoln	56.98	53.23	-0.54	GB	93	64	6.93	59.0
287	Finnsnes	49.68	69.23	17.98	NO	46	44	4.7	53.6
288	Pontivy	59.0	48.06	-2.97	FR	93	90	9.17	59.0
289	Kannauj	81.23	27.05	79.92	IN	63	0	8.19	81.23
290	Kolokani	79.97	13.58	-8.03	ML	69	56	7.74	79.97
291	Konstantinovka	68.18	47.99	28.86	MD	34	0	11.54	68.18
292	Ivnya	46.4	51.06	36.14	RU	61	0	6.71	46.4
293	Gueret	57.2	46.17	1.87	FR	100	90	2.24	57.2
294	Tayoltita	89.42	24.11	-105.93	MX	41	56	2.15	89.42
295	Bonga	59.45	7.26	36.25	ET	100	56	1.92	59.45
296	Decatur	71.71	35.51	-84.79	US	88	75	8.05	80.6
297	Quetta	53.24	30.19	67.02	PK	46	0	2.71	53.24
298	Purgstall	61.88	48.06	15.14	AT	88	24	1.92	61.88
299	Havelock	78.55	34.88	-76.9	US	100	20	11.41	82.4
300	Ubinskoye	56.39	55.31	79.68	RU	78	56	15.01	56.39
301	Ust-Ilimsk	60.26	57.96	102.73	RU	71	68	8.63	60.26
302	Ilanskiy	50.0	56.24	96.06	RU	72	0	18.25	50.0
303	Nehe	78.8	48.48	124.88	CN	51	8	12.21	78.8
304	Buribay	41.18	51.96	58.16	RU	93	80	2.93	41.18
305	Urdoma	35.51	61.74	48.55	RU	55	36	10.87	35.51
306	Valer	51.53	41.76	-6.18	ES	70	20	6.96	51.53
307	Ulcinj	67.82	41.93	19.22	ME	64	20	3.36	71.6
308	Tashla	35.6	53.71	49.75	RU	80	0	8.95	35.6
309	Wenatchee	64.96	47.42	-120.31	US	34	40	20.8	66.2
310	Wladyslawowo	59.0	54.79	18.4	PL	87	0	4.7	59.0
311	Okmulgee	86.95	35.62	-95.96	US	70	40	8.05	89.6
312	Koupela	81.5	12.18	-0.35	BF	81	32	2.59	81.5
313	Pak Phanang	75.2	8.35	100.2	TH	94	40	1.12	75.2
314	Vasilsursk	37.85	56.13	46.01	RU	57	24	7.74	37.85
315	Ximei	78.8	23.74	120.51	TW	94	75	10.29	78.8
316	Cap-aux-Meules	50.0	47.38	-61.86	CA	71	75	11.41	50.0
317	Linkuva	51.8	56.09	23.97	LT	76	0	2.24	51.8
318	Nagpur	80.6	21.15	79.08	IN	78	40	2.24	80.6
319	Amudat	62.06	1.95	34.95	UG	99	76	2.71	62.06
320	Galyugayevskaya	64.31	43.7	44.93	RU	79	56	10.54	64.31
321	Sangmelima	69.53	2.93	11.98	CM	98	88	2.37	69.53
